"","x"
"1",0
"2",1.09861228866811
"3",0
"4",1.38629436111989
"5",0.693147180559945
"6",0
"7",0
"8",0
"9",0.693147180559945
"10",0
"11",1.38629436111989
"12",1.09861228866811
"13",0
"14",0.693147180559945
"15",0
"16",0
"17",0
"18",0.693147180559945
"19",0.693147180559945
"20",0
"21",1.09861228866811
"22",0
"23",3.04452243772342
"24",0
"25",0
"26",2.19722457733622
"27",0
"28",0
"29",0
"30",0.693147180559945
"31",0.693147180559945
"32",2.94443897916644
"33",1.38629436111989
"34",0.693147180559945
"35",0
"36",0
"37",0.693147180559945
"38",1.38629436111989
"39",0
"40",1.09861228866811
"41",0.693147180559945
"42",1.38629436111989
"43",0.693147180559945
"44",1.09861228866811
"45",1.09861228866811
"46",0
"47",0.693147180559945
"48",1.09861228866811
"49",2.94443897916644
"50",0
"51",0.693147180559945
"52",0
"53",1.38629436111989
"54",1.38629436111989
"55",0
"56",1.09861228866811
"57",0
"58",2.94443897916644
"59",0
"60",1.79175946922805
"61",0
"62",0
"63",1.09861228866811
"64",0.693147180559945
"65",1.38629436111989
"66",1.79175946922805
"67",0
"68",1.09861228866811
"69",0.693147180559945
"70",0
"71",0
"72",0
"73",1.38629436111989
"74",2.19722457733622
"75",2.30258509299405
"76",1.94591014905531
"77",0
"78",0.693147180559945
"79",0
"80",0
"81",1.79175946922805
"82",1.94591014905531
"83",1.09861228866811
"84",0
"85",0
"86",0.693147180559945
"87",1.6094379124341
"88",1.6094379124341
"89",0
"90",0
"91",0
"92",0
"93",0
"94",0.693147180559945
"95",0
"96",0.693147180559945
"97",0.693147180559945
"98",1.38629436111989
"99",0
"100",0
"101",0
"102",0
"103",0
"104",1.38629436111989
"105",0
"106",2.484906649788
"107",0
"108",0
"109",0
"110",1.6094379124341
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",3.04452243772342
"118",1.09861228866811
"119",2.30258509299405
"120",1.38629436111989
"121",0.693147180559945
"122",0
"123",0
"124",0
"125",1.79175946922805
"126",0
"127",0
"128",0
"129",1.38629436111989
"130",0
"131",0
"132",1.38629436111989
"133",0
"134",1.38629436111989
"135",0
"136",0.693147180559945
"137",1.09861228866811
"138",0
"139",0
"140",2.19722457733622
"141",0.693147180559945
"142",0
"143",1.38629436111989
"144",0
"145",1.38629436111989
"146",0
"147",0.693147180559945
"148",0
"149",0
"150",1.94591014905531
"151",1.38629436111989
"152",1.38629436111989
"153",0
"154",0
"155",0.693147180559945
"156",0
"157",1.38629436111989
"158",0
"159",0
"160",0
"161",1.09861228866811
"162",1.09861228866811
"163",0
"164",0
"165",0
"166",0
"167",1.38629436111989
"168",0
"169",2.70805020110221
"170",0
"171",0
"172",0
"173",1.09861228866811
"174",0.693147180559945
"175",2.19722457733622
"176",0.693147180559945
"177",0
"178",0.693147180559945
"179",0
"180",0
"181",2.39789527279837
"182",0
"183",0
"184",1.09861228866811
"185",0
"186",0
"187",0
"188",1.38629436111989
"189",1.38629436111989
"190",0
"191",0.693147180559945
"192",0
"193",1.09861228866811
"194",0
"195",1.09861228866811
"196",1.79175946922805
"197",1.09861228866811
"198",0
"199",1.09861228866811
"200",1.09861228866811
"201",0
"202",0
"203",1.79175946922805
"204",0
"205",0
"206",0.693147180559945
"207",0
"208",1.94591014905531
"209",0
"210",0
"211",0
"212",3.09104245335832
"213",1.38629436111989
"214",0.693147180559945
"215",0.693147180559945
"216",0
"217",1.09861228866811
"218",1.09861228866811
"219",1.09861228866811
"220",0
"221",0
"222",0
"223",0
"224",1.09861228866811
"225",1.09861228866811
"226",0
"227",0
"228",1.38629436111989
"229",2.07944154167984
"230",0
"231",0
"232",1.79175946922805
"233",0
"234",0
"235",1.94591014905531
"236",0
"237",0
"238",0
"239",0
"240",0
"241",2.56494935746154
"242",0
"243",0
"244",0.693147180559945
"245",0
"246",0.693147180559945
"247",1.79175946922805
"248",0
"249",0
"250",0
"251",1.79175946922805
"252",0
"253",0.693147180559945
"254",0
"255",0.693147180559945
"256",0
"257",0
"258",0
"259",0
"260",0
"261",1.09861228866811
"262",1.09861228866811
"263",0
"264",0
"265",1.09861228866811
"266",0
"267",0
"268",0
"269",2.39789527279837
"270",0
"271",0.693147180559945
"272",1.94591014905531
"273",0
"274",2.07944154167984
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",2.63905732961526
"284",1.79175946922805
"285",1.38629436111989
"286",0.693147180559945
"287",0.693147180559945
"288",0
"289",0
"290",0
"291",0
"292",1.79175946922805
"293",0
"294",1.09861228866811
"295",1.09861228866811
"296",0.693147180559945
"297",0
"298",0
"299",0.693147180559945
"300",0.693147180559945
"301",0
"302",0
"303",0
"304",0
"305",1.38629436111989
"306",2.70805020110221
"307",2.70805020110221
"308",2.63905732961526
"309",0
"310",0.693147180559945
"311",0.693147180559945
"312",1.09861228866811
"313",1.6094379124341
"314",2.07944154167984
"315",0.693147180559945
"316",1.09861228866811
"317",0
"318",0
"319",1.94591014905531
"320",0
"321",0.693147180559945
"322",0.693147180559945
"323",0
"324",0
"325",0
"326",0
"327",0
"328",1.38629436111989
"329",1.38629436111989
"330",0.693147180559945
"331",1.79175946922805
"332",1.09861228866811
"333",0
"334",1.94591014905531
"335",2.83321334405622
"336",0.693147180559945
"337",1.09861228866811
"338",2.30258509299405
"339",1.09861228866811
"340",3.78418963391826
"341",0.693147180559945
"342",1.09861228866811
"343",0.693147180559945
"344",0
"345",0
"346",1.09861228866811
"347",0
"348",0
"349",1.6094379124341
"350",0
"351",0
"352",0.693147180559945
"353",0
"354",0
"355",0
"356",2.07944154167984
"357",0
"358",0
"359",1.09861228866811
"360",1.09861228866811
"361",0
"362",0
"363",0
"364",0.693147180559945
"365",0
"366",0
"367",1.38629436111989
"368",0.693147180559945
"369",1.6094379124341
"370",2.39789527279837
"371",2.39789527279837
"372",1.6094379124341
"373",0
"374",0
"375",0
"376",0
"377",0
"378",1.94591014905531
"379",0.693147180559945
"380",1.09861228866811
"381",0
"382",0
"383",0
"384",0
"385",0
"386",0
"387",0
"388",0
"389",2.63905732961526
"390",0
"391",0
"392",0
"393",0
"394",0
"395",2.19722457733622
"396",0
"397",1.09861228866811
"398",1.79175946922805
"399",0
"400",0
"401",0
"402",0
"403",0
"404",0.693147180559945
"405",0
"406",0.693147180559945
"407",1.09861228866811
"408",0
"409",2.07944154167984
"410",0
"411",0
"412",3.40119738166216
"413",0.693147180559945
"414",2.07944154167984
"415",1.38629436111989
"416",0.693147180559945
"417",0
"418",0
"419",0.693147180559945
"420",0.693147180559945
"421",0
"422",1.38629436111989
"423",0
"424",0
"425",0
"426",1.09861228866811
"427",1.38629436111989
"428",0.693147180559945
"429",0
"430",1.38629436111989
"431",0.693147180559945
"432",0.693147180559945
"433",0
"434",0
"435",0.693147180559945
"436",0
"437",0
"438",3.63758615972639
"439",1.38629436111989
"440",2.56494935746154
"441",0
"442",0
"443",0
"444",0
"445",2.19722457733622
"446",0
"447",0.693147180559945
"448",0
"449",2.89037175789616
"450",0
"451",1.09861228866811
"452",1.94591014905531
"453",1.09861228866811
"454",0
"455",0
"456",0
"457",1.38629436111989
"458",2.07944154167984
"459",0
"460",0.693147180559945
"461",2.484906649788
"462",0
"463",0
"464",0
"465",0
"466",2.89037175789616
"467",0
"468",0
"469",0.693147180559945
"470",1.38629436111989
"471",1.09861228866811
"472",2.07944154167984
"473",0
"474",1.38629436111989
"475",0
"476",0
"477",0
"478",0
"479",1.38629436111989
"480",0
"481",0
"482",1.09861228866811
"483",1.38629436111989
"484",1.94591014905531
"485",0
"486",2.484906649788
"487",0
"488",2.07944154167984
"489",0
"490",0
"491",1.09861228866811
"492",0
"493",0
"494",1.09861228866811
"495",2.63905732961526
"496",1.09861228866811
"497",1.09861228866811
"498",1.09861228866811
"499",0
"500",0
"501",0
"502",2.07944154167984
"503",0
"504",0
"505",0
"506",0
"507",2.07944154167984
"508",0
"509",0
"510",0.693147180559945
"511",1.38629436111989
"512",0
"513",1.38629436111989
"514",0.693147180559945
"515",0
"516",1.38629436111989
"517",0.693147180559945
"518",1.09861228866811
"519",0
"520",0
"521",0
"522",0.693147180559945
"523",0
"524",2.484906649788
"525",1.38629436111989
"526",0
"527",1.38629436111989
"528",0.693147180559945
"529",0
"530",0.693147180559945
"531",2.07944154167984
"532",1.38629436111989
"533",0
"534",0
"535",0
"536",1.38629436111989
"537",0
"538",0.693147180559945
"539",0
"540",0.693147180559945
"541",0
"542",0
"543",0
"544",1.94591014905531
"545",2.39789527279837
"546",1.09861228866811
"547",0
"548",0
"549",1.09861228866811
"550",0.693147180559945
"551",0
"552",1.09861228866811
"553",1.79175946922805
"554",1.79175946922805
"555",1.09861228866811
"556",0
"557",0
"558",1.09861228866811
"559",0
"560",0
"561",1.79175946922805
"562",0
"563",2.30258509299405
"564",0
"565",2.30258509299405
"566",0
"567",2.56494935746154
"568",2.39789527279837
"569",0.693147180559945
"570",2.19722457733622
"571",0.693147180559945
"572",0
"573",0
"574",0
"575",2.30258509299405
"576",2.94443897916644
"577",1.09861228866811
"578",0
"579",1.09861228866811
"580",1.09861228866811
"581",0
"582",0
"583",0
"584",0
"585",0
"586",1.6094379124341
"587",1.38629436111989
"588",0
"589",0
"590",1.09861228866811
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0.693147180559945
"599",0
"600",1.6094379124341
"601",0
"602",0
"603",0
"604",0
"605",1.6094379124341
"606",0
"607",1.38629436111989
"608",2.83321334405622
"609",0
"610",2.39789527279837
"611",1.09861228866811
"612",1.38629436111989
"613",0
"614",0.693147180559945
"615",0
"616",2.39789527279837
"617",1.38629436111989
"618",2.19722457733622
"619",0
"620",0
"621",2.39789527279837
"622",2.39789527279837
"623",0.693147180559945
"624",0
"625",1.38629436111989
"626",0
"627",0.693147180559945
"628",0
"629",0
"630",1.38629436111989
"631",0.693147180559945
"632",1.09861228866811
"633",0
"634",1.09861228866811
"635",2.77258872223978
"636",0
"637",0
"638",0
"639",0
"640",0
"641",1.09861228866811
"642",1.09861228866811
"643",0.693147180559945
"644",0.693147180559945
"645",0
"646",0.693147180559945
"647",0
"648",0
"649",0.693147180559945
"650",0
"651",3.3322045101752
"652",0
"653",0
"654",0
"655",2.77258872223978
"656",0
"657",1.94591014905531
"658",0
"659",0
"660",0
"661",2.30258509299405
"662",0
"663",0.693147180559945
"664",0
"665",0
"666",0
"667",1.6094379124341
"668",0
"669",0
"670",0
"671",0
"672",0
"673",2.89037175789616
"674",0
"675",0.693147180559945
"676",1.38629436111989
"677",0
"678",0
"679",0
"680",1.09861228866811
"681",1.09861228866811
"682",0.693147180559945
"683",0
"684",2.89037175789616
"685",0.693147180559945
"686",0
"687",0
"688",0
"689",2.19722457733622
"690",2.19722457733622
"691",0.693147180559945
"692",0.693147180559945
"693",0
"694",0.693147180559945
"695",1.09861228866811
"696",1.38629436111989
"697",0
"698",0
"699",0.693147180559945
"700",0
"701",0
"702",2.39789527279837
"703",0
"704",0
"705",2.39789527279837
"706",0
"707",0
"708",0
"709",2.19722457733622
"710",0
"711",0
"712",0.693147180559945
"713",1.09861228866811
"714",0
"715",0.693147180559945
"716",2.19722457733622
"717",0
"718",1.6094379124341
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",0.693147180559945
"726",0.693147180559945
"727",1.38629436111989
"728",0
"729",1.38629436111989
"730",0
"731",0
"732",0
"733",0.693147180559945
"734",0
"735",0.693147180559945
"736",1.94591014905531
"737",0.693147180559945
"738",0
"739",0.693147180559945
"740",0
"741",0
"742",1.38629436111989
"743",0
"744",1.09861228866811
"745",0
"746",0.693147180559945
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",1.38629436111989
"755",0
"756",1.09861228866811
"757",1.79175946922805
"758",0
"759",0.693147180559945
"760",0
"761",0
"762",2.30258509299405
"763",0.693147180559945
"764",0.693147180559945
"765",2.30258509299405
"766",1.09861228866811
"767",0.693147180559945
"768",0
"769",0
"770",1.09861228866811
"771",0
"772",1.79175946922805
"773",1.79175946922805
"774",0
"775",0
"776",0
"777",0
"778",0.693147180559945
"779",0
"780",0
"781",1.6094379124341
"782",0
"783",0
"784",0
"785",0
"786",2.30258509299405
"787",0.693147180559945
"788",0
"789",1.94591014905531
"790",0
"791",3.13549421592915
"792",0.693147180559945
"793",0
"794",0
"795",0
"796",1.94591014905531
"797",1.38629436111989
"798",0
"799",1.6094379124341
"800",0
"801",2.63905732961526
"802",0
"803",0
"804",0
"805",0
"806",0
"807",1.38629436111989
"808",0
"809",1.38629436111989
"810",0
"811",0.693147180559945
"812",0
"813",1.6094379124341
"814",0.693147180559945
"815",0
"816",0
"817",2.07944154167984
"818",0
"819",0
"820",0
"821",2.30258509299405
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",2.484906649788
"831",1.09861228866811
"832",0
"833",1.09861228866811
"834",0
"835",0.693147180559945
"836",0.693147180559945
"837",1.09861228866811
"838",0
"839",1.94591014905531
"840",0
"841",0
"842",0
"843",0.693147180559945
"844",0.693147180559945
"845",0
"846",0
"847",0
"848",0
"849",0
"850",1.94591014905531
"851",0.693147180559945
"852",0
"853",0.693147180559945
"854",0
"855",2.39789527279837
"856",1.38629436111989
"857",1.79175946922805
"858",0
"859",1.94591014905531
"860",0
"861",0
"862",1.09861228866811
"863",0.693147180559945
"864",1.38629436111989
"865",1.09861228866811
"866",1.09861228866811
"867",0
"868",0
