"","x"
"640",0
"641",2
"642",2
"643",1
"644",1
"645",0
"646",1
"647",0
"648",0
"649",1
"650",0
"651",27
"652",0
"653",0
"654",0
"655",15
"656",0
"657",6
"658",0
"659",0
"660",0
"661",9
"662",0
"663",1
"664",0
"665",0
"666",0
"667",4
"668",0
"669",0
"670",0
"671",0
"672",0
"673",17
"674",0
"675",1
"676",3
"677",0
"678",0
"679",0
"680",2
"681",2
"682",1
"683",0
"684",17
"685",1
"686",0
"687",0
"688",0
"689",8
"690",8
"691",1
"692",1
"693",0
"694",1
"695",2
"696",3
"697",0
"698",0
"699",1
"700",0
"701",0
"702",10
"703",0
"704",0
"705",10
"706",0
"707",0
"708",0
"709",8
"710",0
"711",0
"712",1
"713",2
"714",0
"715",1
"716",8
"717",0
"718",4
"719",0
"720",0
"721",0
"722",0
"723",0
"724",0
"725",1
"726",1
"727",3
"728",0
"729",3
"730",0
"731",0
"732",0
"733",1
"734",0
"735",1
"736",6
"737",1
"738",0
"739",1
"740",0
"741",0
"742",3
"743",0
"744",2
"745",0
"746",1
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",3
"755",0
"756",2
"757",5
"758",0
"759",1
"760",0
"761",0
"762",9
"763",1
"764",1
"765",9
"766",2
"767",1
"768",0
"769",0
"770",2
"771",0
"772",5
"773",5
"774",0
"775",0
"776",0
"777",0
"778",1
"779",0
"780",0
"781",4
"782",0
"783",0
"784",0
"785",0
"786",9
"787",1
"788",0
"789",6
"790",0
"791",22
"792",1
"793",0
"794",0
"795",0
"796",6
"797",3
"798",0
"799",4
"800",0
"801",13
"802",0
"803",0
"804",0
"805",0
"806",0
"807",3
"808",0
"809",3
"810",0
"811",1
"812",0
"813",4
"814",1
"815",0
"816",0
"817",7
"818",0
"819",0
"820",0
"821",9
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",11
"831",2
"832",0
"833",2
"834",0
"835",1
"836",1
"837",2
"838",0
"839",6
"840",0
"841",0
"842",0
"843",1
"844",1
"845",0
"846",0
"847",0
"848",0
"849",0
"850",6
"851",1
"852",0
"853",1
"854",0
"855",10
"856",3
"857",5
"858",0
"859",6
"860",0
"861",0
"862",2
"863",1
"864",3
"865",2
"866",2
"867",0
"868",0
"869",5
"870",3
"871",0
"872",0
"873",0
"874",5
"875",9
"876",0
"877",5
"878",0
"879",2
"880",0
"881",0
"882",0
"883",0
"884",0
"885",3
"886",1
"887",0
"888",1
"889",0
"890",2
"891",0
"892",0
"893",0
"894",1
"895",0
"896",0
"897",0
"898",1
"899",1
"900",0
"901",2
"902",0
"903",3
"904",0
"905",0
"906",0
"907",1
"908",0
"909",3
"910",0
"911",0
"912",0
"913",8
"914",0
"915",0
"916",1
"917",0
"918",0
"919",0
"920",1
"921",4
"922",0
"923",5
"924",1
"925",1
"926",0
"927",0
"928",0
"929",2
"930",12
"931",0
"932",0
"933",0
"934",0
"935",0
"936",1
"937",4
"938",4
"939",0
"940",8
"941",1
"942",0
"943",4
"944",1
"945",0
"946",4
"947",0
"948",0
"949",6
"950",3
"951",0
"952",1
"953",0
"954",3
"955",8
"956",2
"957",0
"958",0
"959",0
"960",2
"961",2
"962",2
"963",0
"964",0
"965",6
"966",0
"967",6
"968",0
"969",0
"970",0
"971",2
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",0
"980",12
"981",0
"982",0
"983",9
"984",0
"985",0
"986",28
"987",2
"988",3
"989",5
"990",4
"991",0
"992",0
"993",0
"994",0
"995",2
"996",1
"997",0
"998",0
"999",0
"1000",0
"1001",1
"1002",0
"1003",0
"1004",0
"1005",0
"1006",1
"1007",0
"1008",1
"1009",1
"1010",0
"1011",4
"1012",1
"1013",5
"1014",6
"1015",17
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",1
"1023",0
"1024",4
"1025",0
"1026",0
"1027",0
"1028",1
"1029",0
"1030",0
"1031",0
"1032",2
"1033",0
"1034",2
"1035",6
"1036",0
"1037",5
"1038",1
"1039",0
"1040",1
"1041",0
"1042",3
"1043",2
"1044",4
"1045",7
"1046",0
"1047",0
"1048",0
"1049",3
"1050",0
"1051",0
"1052",0
"1053",0
"1054",17
"1055",1
"1056",1
"1057",0
"1058",0
"1059",0
"1060",1
"1061",4
"1062",10
"1063",3
"1064",2
"1065",0
"1066",0
"1067",0
"1068",0
"1069",14
"1070",0
"1071",0
"1072",0
"1073",0
"1074",1
"1075",0
"1076",2
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",5
"1083",1
"1084",1
"1085",2
"1086",0
"1087",2
"1088",9
"1089",2
"1090",2
"1091",0
"1092",0
"1093",0
"1094",0
"1095",0
"1096",1
"1097",0
"1098",0
"1099",2
"1100",15
"1101",2
"1102",0
"1103",2
"1104",11
"1105",0
"1106",0
"1107",8
"1108",7
"1109",0
"1110",0
"1111",2
"1112",0
"1113",1
"1114",1
"1115",1
"1116",0
"1117",3
"1118",0
"1119",0
"1120",2
"1121",0
"1122",1
"1123",0
"1124",1
"1125",2
"1126",3
"1127",0
"1128",0
"1129",1
"1130",0
"1131",0
"1132",0
"1133",0
"1134",8
"1135",0
"1136",0
"1137",5
"1138",0
"1139",0
"1140",0
"1141",2
"1142",0
"1143",3
"1144",0
"1145",0
"1146",24
"1147",2
"1148",1
"1149",0
"1150",1
"1151",0
"1152",1
"1153",2
"1154",0
"1155",16
"1156",1
"1157",0
"1158",3
"1159",9
"1160",1
"1161",2
"1162",5
"1163",0
"1164",27
"1165",2
"1166",0
"1167",0
"1168",0
"1169",0
"1170",1
"1171",0
"1172",0
"1173",0
"1174",0
"1175",0
"1176",4
"1177",0
"1178",0
"1179",0
"1180",0
"1181",1
"1182",0
"1183",0
"1184",2
"1185",0
"1186",0
"1187",0
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",0
"1194",0
"1195",2
"1196",6
"1197",0
"1198",0
"1199",0
"1200",4
"1201",0
"1202",0
"1203",1
"1204",0
"1205",0
"1206",2
"1207",1
"1208",1
"1209",1
"1210",5
"1211",3
"1212",2
"1213",0
"1214",0
"1215",0
"1216",3
"1217",8
"1218",0
"1219",0
"1220",0
"1221",0
"1222",2
"1223",2
"1224",1
"1225",0
"1226",13
"1227",0
"1228",6
"1229",3
"1230",1
"1231",0
"1232",3
"1233",0
"1234",1
"1235",0
"1236",2
"1237",10
"1238",0
"1239",9
"1240",5
"1241",0
"1242",1
"1243",0
"1244",0
"1245",1
"1246",3
"1247",0
"1248",0
"1249",0
"1250",4
"1251",0
"1252",13
"1253",0
"1254",0
"1255",0
"1256",3
"1257",1
"1258",6
"1259",8
"1260",4
"1261",3
"1262",0
"1263",4
"1264",0
"1265",0
"1266",2
"1267",4
"1268",5
"1269",8
"1270",0
"1271",0
"1272",3
"1273",0
"1274",0
"1275",2
"1276",0
"1277",0
"1278",0
"1279",1
"1280",1
"1281",22
"1282",1
"1283",0
"1284",1
"1285",3
"1286",11
"1287",0
"1288",3
"1289",18
"1290",3
"1291",0
"1292",0
"1293",0
"1294",1
"1295",0
"1296",0
"1297",0
"1298",2
"1299",0
"1300",4
"1301",0
"1302",3
"1303",3
"1304",2
"1305",0
"1306",0
"1307",1
"1308",0
"1309",0
"1310",1
"1311",10
"1312",0
"1313",0
"1314",18
"1315",1
"1316",0
"1317",0
"1318",1
"1319",2
"1320",0
"1321",0
"1322",0
"1323",0
"1324",0
"1325",5
"1326",0
"1327",0
"1328",3
"1329",3
"1330",0
"1331",0
"1332",4
"1333",9
"1334",0
"1335",7
"1336",2
"1337",3
"1338",0
"1339",0
"1340",0
"1341",0
"1342",2
"1343",2
"1344",14
"1345",4
"1346",0
"1347",0
"1348",0
"1349",2
"1350",3
"1351",2
"1352",1
"1353",2
"1354",0
"1355",6
"1356",0
"1357",2
"1358",3
"1359",0
"1360",0
"1361",0
"1362",2
"1363",1
"1364",0
"1365",3
"1366",1
"1367",11
"1368",0
"1369",4
"1370",7
"1371",0
"1372",0
"1373",0
"1374",0
"1375",0
"1376",3
"1377",15
"1378",0
"1379",0
"1380",0
"1381",3
"1382",2
"1383",0
"1384",1
"1385",0
"1386",0
"1387",9
"1388",0
"1389",2
"1390",1
"1391",0
"1392",2
"1393",0
"1394",0
"1395",1
"1396",0
"1397",0
"1398",0
"1399",5
"1400",2
"1401",2
"1402",0
"1403",9
"1404",0
"1405",0
"1406",0
"1407",7
"1408",3
"1409",0
"1410",0
"1411",0
"1412",7
"1413",6
"1414",0
"1415",3
"1416",6
"1417",0
"1418",0
"1419",11
"1420",1
"1421",0
"1422",6
"1423",2
"1424",0
"1425",3
"1426",0
"1427",1
"1428",0
"1429",2
"1430",11
"1431",14
"1432",0
"1433",4
"1434",0
"1435",6
"1436",4
"1437",1
"1438",0
"1439",1
"1440",0
"1441",1
"1442",0
"1443",0
"1444",2
"1445",0
"1446",6
"1447",4
"1448",0
"1449",0
"1450",0
"1451",1
"1452",0
"1453",3
"1454",0
"1455",3
"1456",0
"1457",3
"1458",0
"1459",7
"1460",0
"1461",0
"1462",3
"1463",1
"1464",0
"1465",3
"1466",0
"1467",0
"1468",0
"1469",1
"1470",1
"1471",0
"1472",4
"1473",2
"1474",0
"1475",2
"1476",0
"1477",1
"1478",7
"1479",7
"1480",0
"1481",0
"1482",0
"1483",0
"1484",11
"1485",3
"1486",4
"1487",5
"1488",0
"1489",0
"1490",1
"1491",3
"1492",1
"1493",1
"1494",1
"1495",9
"1496",0
"1497",0
"1498",0
"1499",0
"1500",0
"1501",0
"1502",3
"1503",0
"1504",0
"1505",6
"1506",4
"1507",0
"1508",0
"1509",9
"1510",1
"1511",0
"1512",23
"1513",8
"1514",0
"1515",1
"1516",0
"1517",1
"1518",0
"1519",1
"1520",1
"1521",11
"1522",0
"1523",0
"1524",0
"1525",1
"1526",0
"1527",0
"1528",0
"1529",0
"1530",14
"1531",0
"1532",2
"1533",5
"1534",0
"1535",3
"1536",1
"1537",2
"1538",9
"1539",1
"1540",0
"1541",4
"1542",0
"1543",0
"1544",2
"1545",2
"1546",0
"1547",0
"1548",0
"1549",0
"1550",7
"1551",0
"1552",0
"1553",4
"1554",1
"1555",2
"1556",0
"1557",6
"1558",2
"1559",0
"1560",0
"1561",3
"1562",1
"1563",0
"1564",0
"1565",0
"1566",0
"1567",1
"1568",4
"1569",0
"1570",1
"1571",0
"1572",8
"1573",0
"1574",0
"1575",7
"1576",0
"1577",6
"1578",9
"1579",0
"1580",3
"1581",0
"1582",1
"1583",3
"1584",2
"1585",0
"1586",3
"1587",5
"1588",0
"1589",1
"1590",0
"1591",0
"1592",2
"1593",2
"1594",1
"1595",1
"1596",0
"1597",0
"1598",0
"1599",1
"1600",0
"1601",0
"1602",0
"1603",24
"1604",2
"1605",0
"1606",0
"1607",0
"1608",1
"1609",0
"1610",0
"1611",1
"1612",0
"1613",6
"1614",1
"1615",13
"1616",9
"1617",1
"1618",3
"1619",0
"1620",2
"1621",2
"1622",0
"1623",0
"1624",17
"1625",0
"1626",0
"1627",0
"1628",5
"1629",0
"1630",0
"1631",2
"1632",1
"1633",1
"1634",3
"1635",0
"1636",17
"1637",0
"1638",6
"1639",3
"1640",0
"1641",0
"1642",2
"1643",0
"1644",3
"1645",0
"1646",2
"1647",0
"1648",0
"1649",1
"1650",0
"1651",11
"1652",0
"1653",1
"1654",0
"1655",0
"1656",7
"1657",2
"1658",0
"1659",2
"1660",1
"1661",0
"1662",0
"1663",1
"1664",0
"1665",1
"1666",1
"1667",0
"1668",0
"1669",0
"1670",0
"1671",0
"1672",0
"1673",0
"1674",2
"1675",0
"1676",0
"1677",3
"1678",2
"1679",7
"1680",10
"1681",7
"1682",0
"1683",2
"1684",1
"1685",1
"1686",0
"1687",0
"1688",1
"1689",0
"1690",0
"1691",0
"1692",0
"1693",0
"1694",18
"1695",0
"1696",0
"1697",6
"1698",5
"1699",3
"1700",3
"1701",6
"1702",0
"1703",3
"1704",3
"1705",0
"1706",0
"1707",12
"1708",0
"1709",0
"1710",7
"1711",0
"1712",0
"1713",2
